journal_name,issn,eissn,priority,domain,frequency,active,rss_url,crossref_query,pubmed_query,notes
Journal of Athletic Training,,,A,athletic training/injury,daily,yes,,Journal of Athletic Training,"""Journal of Athletic Training""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
"BMC Sports Science, Medicine and Rehabilitation",,,A,sports science/rehabilitation,daily,yes,,"BMC Sports Science, Medicine and Rehabilitation","""BMC Sports Science, Medicine and Rehabilitation""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
Journal of Human Kinetics,,,A,kinesiology/exercise science,daily,yes,,Journal of Human Kinetics,"""Journal of Human Kinetics""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
PM&R,,,A,physical medicine/rehabilitation,daily,yes,,PM&R,"""PM&R""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
"Sport, Education and Society",,,B,sport education/society,weekly,yes,,"Sport, Education and Society","""Sport, Education and Society""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
European Journal of Applied Physiology,,,S,applied physiology/hypoxia/training,daily,yes,,European Journal of Applied Physiology,"""European Journal of Applied Physiology""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
Sports Health: A Multidisciplinary Approach,,,A,sports health/clinical,daily,yes,,Sports Health: A Multidisciplinary Approach,"""Sports Health: A Multidisciplinary Approach""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
International Journal of Sport Nutrition and Exercise Metabolism,,,S,sports nutrition/metabolism,daily,yes,,International Journal of Sport Nutrition and Exercise Metabolism,"""International Journal of Sport Nutrition and Exercise Metabolism""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
Journal of Sport & Exercise Psychology,,,B,sport psychology,weekly,yes,,Journal of Sport & Exercise Psychology,"""Journal of Sport & Exercise Psychology""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
Journal of Sports Sciences,,,A,sports science/performance,daily,yes,,Journal of Sports Sciences,"""Journal of Sports Sciences""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
Orthopaedic Journal of Sports Medicine,,,A,orthopaedics/sports medicine,daily,yes,,Orthopaedic Journal of Sports Medicine,"""Orthopaedic Journal of Sports Medicine""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
American Journal of Physical Medicine & Rehabilitation,,,A,physical medicine/rehabilitation,daily,yes,,American Journal of Physical Medicine & Rehabilitation,"""American Journal of Physical Medicine & Rehabilitation""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
Physical Therapy in Sport,,,A,physical therapy/sport,daily,yes,,Physical Therapy in Sport,"""Physical Therapy in Sport""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
Journal of Sports Science and Medicine,,,A,sports science/medicine,daily,yes,,Journal of Sports Science and Medicine,"""Journal of Sports Science and Medicine""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
Gait & Posture,,,A,biomechanics/gait,daily,yes,,Gait & Posture,"""Gait & Posture""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
Journal of Rehabilitation Medicine,,,A,rehabilitation medicine,daily,yes,,Journal of Rehabilitation Medicine,"""Journal of Rehabilitation Medicine""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
Journal of Electromyography and Kinesiology,,,A,EMG/kinesiology/neuromuscular,daily,yes,,Journal of Electromyography and Kinesiology,"""Journal of Electromyography and Kinesiology""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
Sociology of Sport Journal,,,B,sport sociology,weekly,yes,,Sociology of Sport Journal,"""Sociology of Sport Journal""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
International Journal of Sports Medicine,,,A,sports medicine/exercise physiology,daily,yes,,International Journal of Sports Medicine,"""International Journal of Sports Medicine""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
The Knee,,,A,orthopaedics/knee,daily,yes,,The Knee,"""The Knee""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
"Applied Physiology, Nutrition, and Metabolism",,,S,applied physiology/nutrition/metabolism,daily,yes,,"Applied Physiology, Nutrition, and Metabolism","""Applied Physiology, Nutrition, and Metabolism""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
Sports Biomechanics,,,A,biomechanics/sport,daily,yes,,Sports Biomechanics,"""Sports Biomechanics""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
Measurement in Physical Education and Exercise Science,,,B,measurement/education/exercise science,weekly,yes,,Measurement in Physical Education and Exercise Science,"""Measurement in Physical Education and Exercise Science""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
Research in Sports Medicine,,,A,sports medicine/research,daily,yes,,Research in Sports Medicine,"""Research in Sports Medicine""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
Human Movement Science,,,A,motor control/movement science,daily,yes,,Human Movement Science,"""Human Movement Science""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
Journal of Teaching in Physical Education,,,B,physical education/teaching,weekly,yes,,Journal of Teaching in Physical Education,"""Journal of Teaching in Physical Education""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
Clinical Journal of Sport Medicine,,,A,clinical sports medicine,daily,yes,,Clinical Journal of Sport Medicine,"""Clinical Journal of Sport Medicine""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
Journal of Orthopaedic Trauma,,,A,orthopaedic trauma,daily,yes,,Journal of Orthopaedic Trauma,"""Journal of Orthopaedic Trauma""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
The Physician and Sportsmedicine,,,A,sports medicine/clinical,daily,yes,,The Physician and Sportsmedicine,"""The Physician and Sportsmedicine""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
ACSM’s Health & Fitness Journal,,,B,health fitness/practice,weekly,yes,,ACSM’s Health & Fitness Journal,"""ACSM’s Health & Fitness Journal""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
Sports Medicine and Arthroscopy Review,,,A,sports medicine/arthroscopy/review,daily,yes,,Sports Medicine and Arthroscopy Review,"""Sports Medicine and Arthroscopy Review""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
Quest,,,B,physical education/kinesiology,weekly,yes,,Quest,"""Quest""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
Adapted Physical Activity Quarterly,,,B,adapted physical activity,weekly,yes,,Adapted Physical Activity Quarterly,"""Adapted Physical Activity Quarterly""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
International Journal of Performance Analysis in Sport,,,A,performance analysis,daily,yes,,International Journal of Performance Analysis in Sport,"""International Journal of Performance Analysis in Sport""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
Clinics in Sports Medicine,,,A,sports medicine/review,daily,yes,,Clinics in Sports Medicine,"""Clinics in Sports Medicine""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
Research Quarterly for Exercise and Sport,,,B,exercise sport research,weekly,yes,,Research Quarterly for Exercise and Sport,"""Research Quarterly for Exercise and Sport""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
Archives of Budo: Journal of Innovative Agonology,,,C,martial arts/agonology,biweekly,yes,,Archives of Budo: Journal of Innovative Agonology,"""Archives of Budo: Journal of Innovative Agonology""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
Journal of Sport Rehabilitation,,,A,sport rehabilitation,daily,yes,,Journal of Sport Rehabilitation,"""Journal of Sport Rehabilitation""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
Journal of Aging and Physical Activity,,,B,aging/physical activity,weekly,yes,,Journal of Aging and Physical Activity,"""Journal of Aging and Physical Activity""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
Clinical Biomechanics,,,A,biomechanics/clinical,daily,yes,,Clinical Biomechanics,"""Clinical Biomechanics""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
High Altitude Medicine & Biology,,,S,hypoxia/altitude/oxygen environment,daily,yes,,High Altitude Medicine & Biology,"""High Altitude Medicine & Biology""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
Motor Control,,,A,motor control/neuroscience,daily,yes,,Motor Control,"""Motor Control""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
Current Sports Medicine Reports,,,A,sports medicine/report/review,daily,yes,,Current Sports Medicine Reports,"""Current Sports Medicine Reports""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
Pediatric Exercise Science,,,B,pediatric exercise science,weekly,yes,,Pediatric Exercise Science,"""Pediatric Exercise Science""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
Journal of Sports Medicine and Physical Fitness,,,A,sports medicine/physical fitness,daily,yes,,Journal of Sports Medicine and Physical Fitness,"""Journal of Sports Medicine and Physical Fitness""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
Journal of Applied Biomechanics,,,A,biomechanics/applied,daily,yes,,Journal of Applied Biomechanics,"""Journal of Applied Biomechanics""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
The Sport Psychologist,,,B,sport psychology,weekly,yes,,The Sport Psychologist,"""The Sport Psychologist""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
Journal of Motor Behavior,,,A,motor behavior,daily,yes,,Journal of Motor Behavior,"""Journal of Motor Behavior""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
Wilderness & Environmental Medicine,,,A,environmental medicine/wilderness/hypoxia,daily,yes,,Wilderness & Environmental Medicine,"""Wilderness & Environmental Medicine""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
"Proceedings of the Institution of Mechanical Engineers, Part P: Journal of Sports Engineering and Technology",,,B,sports engineering/technology,weekly,yes,,"Proceedings of the Institution of Mechanical Engineers, Part P: Journal of Sports Engineering and Technology","""Proceedings of the Institution of Mechanical Engineers, Part P: Journal of Sports Engineering and Technology""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
Science & Sports,,,B,sports science/medicine,weekly,yes,,Science & Sports,"""Science & Sports""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
Kinesiology,,,B,kinesiology,weekly,yes,,Kinesiology,"""Kinesiology""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
Isokinetics and Exercise Science,,,C,isokinetics/exercise science,biweekly,yes,,Isokinetics and Exercise Science,"""Isokinetics and Exercise Science""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
Operative Techniques in Sports Medicine,,,C,sports surgery/operative technique,biweekly,yes,,Operative Techniques in Sports Medicine,"""Operative Techniques in Sports Medicine""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
International Journal of Sport Psychology,,,B,sport psychology,weekly,yes,,International Journal of Sport Psychology,"""International Journal of Sport Psychology""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
Medicina dello Sport,,,C,sports medicine,biweekly,yes,,Medicina dello Sport,"""Medicina dello Sport""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
"Physikalische Medizin, Rehabilitationsmedizin, Kurortmedizin",,,C,physical medicine/rehabilitation,biweekly,yes,,"Physikalische Medizin, Rehabilitationsmedizin, Kurortmedizin","""Physikalische Medizin, Rehabilitationsmedizin, Kurortmedizin""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
Sportverletzung-Sportschaden,,,C,sports injury,biweekly,yes,,Sportverletzung-Sportschaden,"""Sportverletzung-Sportschaden""[Journal]",Seeded from user-provided JCR Sport Sciences SCIE list; ISSN/eISSN should be added from JCR/MJL export for best precision.
