journal_name,priority,domain,publisher,coverage_status,official_source_type,official_source_url,official_source_verified,rss_url,crossref_query,pubmed_query,fallback_sources,next_action,notes
Journal of Exercise Science & Fitness,A,exercise science/fitness,to_verify,database_fallback_only,pending,,no,,Journal of Exercise Science & Fitness,"""Journal of Exercise Science & Fitness""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
Science and Medicine in Football,A,football/performance/medicine,to_verify,database_fallback_only,pending,,no,,Science and Medicine in Football,"""Science and Medicine in Football""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
Journal of Sport Management,B,sport management,to_verify,database_fallback_only,pending,,no,,Journal of Sport Management,"""Journal of Sport Management""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
Journal of Science and Medicine in Sport,S,sports medicine/exercise science,to_verify,database_fallback_only,pending,,no,,Journal of Science and Medicine in Sport,"""Journal of Science and Medicine in Sport""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
Journal of Applied Physiology,S,applied physiology/mechanism,to_verify,database_fallback_only,pending,,no,,Journal of Applied Physiology,"""Journal of Applied Physiology""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
Psychology of Sport and Exercise,B,sport psychology,to_verify,database_fallback_only,pending,,no,,Psychology of Sport and Exercise,"""Psychology of Sport and Exercise""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
Journal of Applied Sport Psychology,B,sport psychology,to_verify,database_fallback_only,pending,,no,,Journal of Applied Sport Psychology,"""Journal of Applied Sport Psychology""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
"Qualitative Research in Sport, Exercise and Health",B,qualitative/exercise health,to_verify,database_fallback_only,pending,,no,,"Qualitative Research in Sport, Exercise and Health","""Qualitative Research in Sport, Exercise and Health""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
Journal of Strength and Conditioning Research,S,strength conditioning/training,to_verify,database_fallback_only,pending,,no,,Journal of Strength and Conditioning Research,"""Journal of Strength and Conditioning Research""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
European Journal of Sport Science,S,exercise science/performance,to_verify,database_fallback_only,pending,,no,,European Journal of Sport Science,"""European Journal of Sport Science""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
Strength and Conditioning Journal,A,strength conditioning/practice,to_verify,database_fallback_only,pending,,no,,Strength and Conditioning Journal,"""Strength and Conditioning Journal""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
Journal of Shoulder and Elbow Surgery,A,orthopaedics/shoulder elbow,to_verify,database_fallback_only,pending,,no,,Journal of Shoulder and Elbow Surgery,"""Journal of Shoulder and Elbow Surgery""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
Journal of Athletic Training,A,athletic training/injury,to_verify,database_fallback_only,pending,,no,,Journal of Athletic Training,"""Journal of Athletic Training""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
"BMC Sports Science, Medicine and Rehabilitation",A,sports science/rehabilitation,to_verify,database_fallback_only,pending,,no,,"BMC Sports Science, Medicine and Rehabilitation","""BMC Sports Science, Medicine and Rehabilitation""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
Journal of Human Kinetics,A,kinesiology/exercise science,to_verify,database_fallback_only,pending,,no,,Journal of Human Kinetics,"""Journal of Human Kinetics""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
PM&R,A,physical medicine/rehabilitation,to_verify,database_fallback_only,pending,,no,,PM&R,"""PM&R""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
"Sport, Education and Society",B,sport education/society,to_verify,database_fallback_only,pending,,no,,"Sport, Education and Society","""Sport, Education and Society""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
European Journal of Applied Physiology,S,applied physiology/hypoxia/training,Springer Nature,official_configured,springer_journal,https://link.springer.com/journal/421/articles,yes,,European Journal of Applied Physiology,"""European Journal of Applied Physiology""[Journal]",crossref;pubmed,active_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
Sports Health: A Multidisciplinary Approach,A,sports health/clinical,to_verify,database_fallback_only,pending,,no,,Sports Health: A Multidisciplinary Approach,"""Sports Health: A Multidisciplinary Approach""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
International Journal of Sport Nutrition and Exercise Metabolism,S,sports nutrition/metabolism,to_verify,database_fallback_only,pending,,no,,International Journal of Sport Nutrition and Exercise Metabolism,"""International Journal of Sport Nutrition and Exercise Metabolism""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
Journal of Sport & Exercise Psychology,B,sport psychology,to_verify,database_fallback_only,pending,,no,,Journal of Sport & Exercise Psychology,"""Journal of Sport & Exercise Psychology""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
Journal of Sports Sciences,A,sports science/performance,to_verify,database_fallback_only,pending,,no,,Journal of Sports Sciences,"""Journal of Sports Sciences""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
Orthopaedic Journal of Sports Medicine,A,orthopaedics/sports medicine,to_verify,database_fallback_only,pending,,no,,Orthopaedic Journal of Sports Medicine,"""Orthopaedic Journal of Sports Medicine""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
American Journal of Physical Medicine & Rehabilitation,A,physical medicine/rehabilitation,to_verify,database_fallback_only,pending,,no,,American Journal of Physical Medicine & Rehabilitation,"""American Journal of Physical Medicine & Rehabilitation""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
Physical Therapy in Sport,A,physical therapy/sport,to_verify,database_fallback_only,pending,,no,,Physical Therapy in Sport,"""Physical Therapy in Sport""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
Journal of Sports Science and Medicine,A,sports science/medicine,to_verify,database_fallback_only,pending,,no,,Journal of Sports Science and Medicine,"""Journal of Sports Science and Medicine""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
Gait & Posture,A,biomechanics/gait,to_verify,database_fallback_only,pending,,no,,Gait & Posture,"""Gait & Posture""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
Journal of Rehabilitation Medicine,A,rehabilitation medicine,to_verify,database_fallback_only,pending,,no,,Journal of Rehabilitation Medicine,"""Journal of Rehabilitation Medicine""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
Journal of Electromyography and Kinesiology,A,EMG/kinesiology/neuromuscular,to_verify,database_fallback_only,pending,,no,,Journal of Electromyography and Kinesiology,"""Journal of Electromyography and Kinesiology""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
Sociology of Sport Journal,B,sport sociology,to_verify,database_fallback_only,pending,,no,,Sociology of Sport Journal,"""Sociology of Sport Journal""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
International Journal of Sports Medicine,A,sports medicine/exercise physiology,to_verify,database_fallback_only,pending,,no,,International Journal of Sports Medicine,"""International Journal of Sports Medicine""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
The Knee,A,orthopaedics/knee,to_verify,database_fallback_only,pending,,no,,The Knee,"""The Knee""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
"Applied Physiology, Nutrition, and Metabolism",S,applied physiology/nutrition/metabolism,to_verify,database_fallback_only,pending,,no,,"Applied Physiology, Nutrition, and Metabolism","""Applied Physiology, Nutrition, and Metabolism""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
Sports Biomechanics,A,biomechanics/sport,to_verify,database_fallback_only,pending,,no,,Sports Biomechanics,"""Sports Biomechanics""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
Measurement in Physical Education and Exercise Science,B,measurement/education/exercise science,to_verify,database_fallback_only,pending,,no,,Measurement in Physical Education and Exercise Science,"""Measurement in Physical Education and Exercise Science""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
Research in Sports Medicine,A,sports medicine/research,to_verify,database_fallback_only,pending,,no,,Research in Sports Medicine,"""Research in Sports Medicine""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
Human Movement Science,A,motor control/movement science,to_verify,database_fallback_only,pending,,no,,Human Movement Science,"""Human Movement Science""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
Journal of Teaching in Physical Education,B,physical education/teaching,to_verify,database_fallback_only,pending,,no,,Journal of Teaching in Physical Education,"""Journal of Teaching in Physical Education""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
Clinical Journal of Sport Medicine,A,clinical sports medicine,to_verify,database_fallback_only,pending,,no,,Clinical Journal of Sport Medicine,"""Clinical Journal of Sport Medicine""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
Journal of Orthopaedic Trauma,A,orthopaedic trauma,to_verify,database_fallback_only,pending,,no,,Journal of Orthopaedic Trauma,"""Journal of Orthopaedic Trauma""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
The Physician and Sportsmedicine,A,sports medicine/clinical,to_verify,database_fallback_only,pending,,no,,The Physician and Sportsmedicine,"""The Physician and Sportsmedicine""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
ACSM’s Health & Fitness Journal,B,health fitness/practice,to_verify,database_fallback_only,pending,,no,,ACSM’s Health & Fitness Journal,"""ACSM’s Health & Fitness Journal""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
Sports Medicine and Arthroscopy Review,A,sports medicine/arthroscopy/review,to_verify,database_fallback_only,pending,,no,,Sports Medicine and Arthroscopy Review,"""Sports Medicine and Arthroscopy Review""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
Quest,B,physical education/kinesiology,to_verify,database_fallback_only,pending,,no,,Quest,"""Quest""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
Adapted Physical Activity Quarterly,B,adapted physical activity,to_verify,database_fallback_only,pending,,no,,Adapted Physical Activity Quarterly,"""Adapted Physical Activity Quarterly""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
International Journal of Performance Analysis in Sport,A,performance analysis,to_verify,database_fallback_only,pending,,no,,International Journal of Performance Analysis in Sport,"""International Journal of Performance Analysis in Sport""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
Clinics in Sports Medicine,A,sports medicine/review,to_verify,database_fallback_only,pending,,no,,Clinics in Sports Medicine,"""Clinics in Sports Medicine""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
Research Quarterly for Exercise and Sport,B,exercise sport research,to_verify,database_fallback_only,pending,,no,,Research Quarterly for Exercise and Sport,"""Research Quarterly for Exercise and Sport""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
Archives of Budo: Journal of Innovative Agonology,C,martial arts/agonology,to_verify,database_fallback_only,pending,,no,,Archives of Budo: Journal of Innovative Agonology,"""Archives of Budo: Journal of Innovative Agonology""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
Journal of Sport Rehabilitation,A,sport rehabilitation,to_verify,database_fallback_only,pending,,no,,Journal of Sport Rehabilitation,"""Journal of Sport Rehabilitation""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
Journal of Aging and Physical Activity,B,aging/physical activity,to_verify,database_fallback_only,pending,,no,,Journal of Aging and Physical Activity,"""Journal of Aging and Physical Activity""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
Clinical Biomechanics,A,biomechanics/clinical,to_verify,database_fallback_only,pending,,no,,Clinical Biomechanics,"""Clinical Biomechanics""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
High Altitude Medicine & Biology,S,hypoxia/altitude/oxygen environment,to_verify,database_fallback_only,pending,,no,,High Altitude Medicine & Biology,"""High Altitude Medicine & Biology""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
Motor Control,A,motor control/neuroscience,to_verify,database_fallback_only,pending,,no,,Motor Control,"""Motor Control""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
Current Sports Medicine Reports,A,sports medicine/report/review,to_verify,database_fallback_only,pending,,no,,Current Sports Medicine Reports,"""Current Sports Medicine Reports""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
Pediatric Exercise Science,B,pediatric exercise science,to_verify,database_fallback_only,pending,,no,,Pediatric Exercise Science,"""Pediatric Exercise Science""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
Journal of Sports Medicine and Physical Fitness,A,sports medicine/physical fitness,to_verify,database_fallback_only,pending,,no,,Journal of Sports Medicine and Physical Fitness,"""Journal of Sports Medicine and Physical Fitness""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
Journal of Applied Biomechanics,A,biomechanics/applied,to_verify,database_fallback_only,pending,,no,,Journal of Applied Biomechanics,"""Journal of Applied Biomechanics""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
The Sport Psychologist,B,sport psychology,to_verify,database_fallback_only,pending,,no,,The Sport Psychologist,"""The Sport Psychologist""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
Journal of Motor Behavior,A,motor behavior,to_verify,database_fallback_only,pending,,no,,Journal of Motor Behavior,"""Journal of Motor Behavior""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
Wilderness & Environmental Medicine,A,environmental medicine/wilderness/hypoxia,to_verify,database_fallback_only,pending,,no,,Wilderness & Environmental Medicine,"""Wilderness & Environmental Medicine""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
"Proceedings of the Institution of Mechanical Engineers, Part P: Journal of Sports Engineering and Technology",B,sports engineering/technology,to_verify,database_fallback_only,pending,,no,,"Proceedings of the Institution of Mechanical Engineers, Part P: Journal of Sports Engineering and Technology","""Proceedings of the Institution of Mechanical Engineers, Part P: Journal of Sports Engineering and Technology""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
Science & Sports,B,sports science/medicine,to_verify,database_fallback_only,pending,,no,,Science & Sports,"""Science & Sports""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
Kinesiology,B,kinesiology,to_verify,database_fallback_only,pending,,no,,Kinesiology,"""Kinesiology""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
Isokinetics and Exercise Science,C,isokinetics/exercise science,to_verify,database_fallback_only,pending,,no,,Isokinetics and Exercise Science,"""Isokinetics and Exercise Science""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
Operative Techniques in Sports Medicine,C,sports surgery/operative technique,to_verify,database_fallback_only,pending,,no,,Operative Techniques in Sports Medicine,"""Operative Techniques in Sports Medicine""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
International Journal of Sport Psychology,B,sport psychology,to_verify,database_fallback_only,pending,,no,,International Journal of Sport Psychology,"""International Journal of Sport Psychology""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
Medicina dello Sport,C,sports medicine,to_verify,database_fallback_only,pending,,no,,Medicina dello Sport,"""Medicina dello Sport""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
"Physikalische Medizin, Rehabilitationsmedizin, Kurortmedizin",C,physical medicine/rehabilitation,to_verify,database_fallback_only,pending,,no,,"Physikalische Medizin, Rehabilitationsmedizin, Kurortmedizin","""Physikalische Medizin, Rehabilitationsmedizin, Kurortmedizin""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
Sportverletzung-Sportschaden,C,sports injury,to_verify,database_fallback_only,pending,,no,,Sportverletzung-Sportschaden,"""Sportverletzung-Sportschaden""[Journal]",crossref;pubmed,add_official_source,Coverage-first registry. Official source should be added/verified journal by journal.
